Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Estimates Start After
Afghanistan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1442,769;1506,218;1459,345;1576,698;1611,291;1758,615;1781,227;2093,415;2207,108;2278,485;2513,139;2569,343;2555,967;2506,346;2492,647;2515,553;2392,418;2439,677;2328,757;n/a;2019
Albania;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5095,15;3690,689;3445,792;3799,702;4182,471;4582,933;5031,152;4509,655;4938,813;5610,885;6039,001;6601,496;6921,703;7331,759;7768,49;8239,877;8781,471;9377,488;10158,46;10570,196;11016,58;11327,428;11506,986;11643,599;11874,772;12173,644;12597,302;13039,701;13577,333;13881,234;13436,113;14172,19;2020
Algeria;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;9037,873;8713,173;8640,966;8263,331;8009,671;8150,672;8310,535;8263,389;8548,841;8687,558;8857,764;8991,451;9355,936;9881,409;10153,144;10592,149;10610,391;10804,024;10824,668;10790,172;10959,72;11050,569;11189,2;11261,617;11445,391;11616,72;11732,164;11644,063;11546,611;11412,229;10655,979;10824,304;2019
Andorra;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;60467,086;60911,089;57892,718;55672,916;56578,793;56460,538;57455,308;56352,197;56208,168;56331,791;49289,417;51029,417;2020
Angola;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2723,232;2963,393;3205,144;3453,128;3704,928;3969,797;4286,136;4464,002;4537,296;4501,239;4503,626;4556,358;5028,17;5027,672;5415,88;6048,376;6550,314;7250,506;7825,339;7662,645;7800,961;7836,708;8258,38;8415,096;8564,004;8392,087;7931,215;7675,54;7294,011;7043,647;6470,214;6240,633;2017
Antigua and Barbuda;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;16038,717;16254,95;16178,338;16656,006;17318,915;16127,904;16729,177;17159,069;17492,752;17703,694;18412,725;17280,656;17271,916;18125,795;18966,467;19978,897;22277,168;24092,569;23832,036;20757,052;18925,371;18362,983;18694,803;18301,182;18708,431;19129,792;19876,074;20190,631;21267,016;21944,748;17290,99;17205,199;2011
Argentina;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;13961,357;15221,156;16562,768;17340;18118,155;17387,033;18130,833;19376,359;19898,281;19016,965;18669,294;17667,361;15591,767;16829,225;18158,055;19577,843;20947,873;22610,957;23297,922;21706,683;23521,27;24647,629;24118,867;24424,136;23550,099;23933,887;23189,527;23597,118;22759,399;22063,904;19681,607;20948,245;2019
Armenia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;2869,118;2524,428;2725,446;3008,385;3213,801;3354,408;3599,154;3737,288;3968,862;4373,031;5037,008;5763,714;6388,343;7338,391;8334,602;9512,249;10207,267;8792,453;8996,936;9414,576;10079,399;10388,322;10744,185;11074,408;11087,768;11974,031;12644,049;13637,865;12637,245;13452,638;2020
Aruba;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;31485,137;32750,513;33496,196;33659,965;34586,941;34471,243;33552,152;34542,217;34372,956;34374,852;36636,954;37813,882;37198,234;37185,647;39054,937;37910,693;37655,071;38530,061;38939,16;34159,064;33137,608;33940,915;33020,155;34548,216;34081,599;34838,708;35209,86;36971,026;37236,898;36219,603;28424,054;31938,969;2019
Australia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;31549,171;30857,391;31326,526;32250,828;33501,363;34022,069;35030,911;36274,865;37585,99;38817,92;39528,378;40047,928;41238,692;41911,223;43162,733;43887,845;44384,755;45492,598;45707,276;45734,894;46166,885;46743,742;47659,176;47903,479;48423,476;48838,192;49337,692;49748,456;50356,29;50542,124;49092,129;50781,046;2020
Austria;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;37811,116;38777,151;39142,253;38931,137;39634,011;40591,21;41508,624;42329,636;43797,556;45267,008;46682,694;47093,637;47635,488;47870,013;48871,099;49628,581;51077,821;52807,703;53409,279;51275,732;52095,404;53442,502;53564,916;53256,782;53190,418;53197,154;53570,828;54390,55;55354,628;56303,441;52573,954;54362,194;2019
Azerbaijan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;6014,743;4608,011;3647,882;3153,364;3198,564;3449,859;3621,396;3995,182;4202,015;4429,597;4802,075;5242,493;5672,81;7174,544;9528,115;11798,404;12878,903;13860,631;14403,001;13999,842;14116,133;14747,138;14966,789;14941,15;14315,383;14184,792;14269,472;14501,143;13761,005;14000,217;2020
